Année,Numéro,Titre,Page(s),Auteur(s),Ville(s),Theme(s),Epoque
2020,1,Les découvertes archéologiques en région,12-18,Jean Dupont,Lille,Archéologie,Moyen Âge
2021,2,Étude sur les monuments anciens,5-10,Claire Martin,Arras,Architecture,Renaissance
2019,3,Fouilles récentes et perspectives,22-29,Paul Morel,Douai,Patrimoine,Antiquité
2020,4,Redécouverte d'un site médiéval,30-35,Lucie Caron,Béthune,Archéologie,Moyen Âge
2021,5,Patrimoine industriel oublié,40-45,Marc Lebrun,Roubaix,Industrie,XIXe siècle
2018,6,Les archives communales,50-55,Sophie Lemoine,Tourcoing,Archives,Époque moderne
2022,7,Étude topographique régionale,60-65,Antoine Girard,Cambrai,Topographie,Antiquité
2019,8,Vestiges de la grande guerre,70-75,Julie Marchand,Lens,Guerre,XXe siècle
2023,9,Fermes fortifiées du Nord,80-85,Vincent Petit,Valenciennes,Ruralité,XVIIe siècle
2017,10,Analyse d'un manuscrit rare,90-95,Élise Fabre,Amiens,Manuscrits,Moyen Âge
